2013 Federal Election House of Representatives Distribution of Preferences By Polling Place [17496 19/11/2013 10:14:27      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,CountNum,BallotPosition,CandidateId,Surname,GivenNm,PartyAb,PartyNm,SittingMemberFl,CalculationType,CalculationValue
"ACT","102","Fraser","0","ABSENT","1","3","24147","LEIGH","Andrew Keith","ALP","Australian Labor Party (ACT Branch)","Y","Preference Percent","42.900"
"ACT","102","Fraser","0","ABSENT","1","3","24147","LEIGH","Andrew Keith","ALP","Australian Labor Party (ACT Branch)","Y","Transfer Count","4"
"ACT","102","Fraser","0","ABSENT","1","3","24147","LEIGH","Andrew Keith","ALP","Australian Labor Party (ACT Branch)","Y","Transfer Percent","17.390"
"ACT","102","Fraser","0","ABSENT","1","4","24246","ALCAZAR","Freddy Alejandro","PUP","Palmer United Party","N","Preference Count","50"
"ACT","102","Fraser","0","ABSENT","1","4","24246","ALCAZAR","Freddy Alejandro","PUP","Palmer United Party","N","Preference Percent","3.320"
"ACT","102","Fraser","0","ABSENT","1","4","24246","ALCAZAR","Freddy Alejandro","PUP","Palmer United Party","N","Transfer Count","1"
"ACT","102","Fraser","0","ABSENT","1","4","24246","ALCAZAR","Freddy Alejandro","PUP","Palmer United Party","N","Transfer Percent","4.350"
"ACT","102","Fraser","0","ABSENT","1","5","24251","ROSS","Jill Elizabeth","RUA","Rise Up Australia Party","N","Preference Count","0"
"ACT","102","Fraser","0","ABSENT","1","5","24251","ROSS","Jill Elizabeth","RUA","Rise Up Australia Party","N","Preference Percent","0.000"
"ACT","102","Fraser","0","ABSENT","1","5","24251","ROSS","Jill Elizabeth","RUA","Rise Up Australia Party","N","Transfer Count","-23"
"ACT","102","Fraser","0","ABSENT","1","5","24251","ROSS","Jill Elizabeth","RUA","Rise Up Australia Party","N","Transfer Percent","-100.000"
"ACT","102","Fraser","0","ABSENT","1","6","24135","HUGGINS","Sam Arthur","BTA","Bullet Train For Australia","N","Preference Count","83"
"ACT","102","Fraser","0","ABSENT","1","6","24135","HUGGINS","Sam Arthur","BTA","Bullet Train For Australia","N","Preference Percent","5.500"
"ACT","102","Fraser","0","ABSENT","1","6","24135","HUGGINS","Sam Arthur","BTA","Bullet Train For Australia","N","Transfer Count","8"
"ACT","102","Fraser","0","ABSENT","1","6","24135","HUGGINS","Sam Arthur","BTA","Bullet Train For Australia","N","Transfer Percent","34.780"
"ACT","102","Fraser","0","ABSENT","1","7","24890","VERWEY","Adam John","GRN","Australian Greens","N","Preference Count","246"
"ACT","102","Fraser","0","ABSENT","1","7","24890","VERWEY","Adam John","GRN","Australian Greens","N","Preference Percent","16.310"
"ACT","102","Fraser","0","ABSENT","1","7","24890","VERWEY","Adam John","GRN","Australian Greens","N","Transfer Count","2"
"ACT","102","Fraser","0","ABSENT","1","7","24890","VERWEY","Adam John","GRN","Australian Greens","N","Transfer Percent","8.700"
"ACT","102","Fraser","0","ABSENT","2","1","24908","CHURCHILL","Darren Mark","DEM","Australian Democrats","N","Preference Count","0"
"ACT","102","Fraser","0","ABSENT","2","1","24908","CHURCHILL","Darren Mark","DEM","Australian Democrats","N","Preference Percent","0.000"
"ACT","102","Fraser","0","ABSENT","2","1","24908","CHURCHILL","Darren Mark","DEM","Australian Democrats","N","Transfer Count","-47"
"ACT","102","Fraser","0","ABSENT","2","1","24908","CHURCHILL","Darren Mark","DEM","Australian Democrats","N","Transfer Percent","-100.000"
"ACT","102","Fraser","0","ABSENT","2","2","24865","LEE","Elizabeth Seul-Gi","LP","Liberal Party of Australia - ACT Division","N","Preference Count","456"
"ACT","102","Fraser","0","ABSENT","2","2","24865","LEE","Elizabeth Seul-Gi","LP","Liberal Party of Australia - ACT Division","N","Preference Percent","30.240"
"ACT","102","Fraser","0","ABSENT","2","2","24865","LEE","Elizabeth Seul-Gi","LP","Liberal Party of Australia - ACT Division","N","Transfer Count","21"
"ACT","102","Fraser","0","ABSENT","2","2","24865","LEE","Elizabeth Seul-Gi","LP","Liberal Party of Australia - ACT Division","N","Transfer Percent","44.680"
"ACT","102","Fraser","0","ABSENT","2","3","24147","LEIGH","Andrew Keith","ALP","Australian Labor Party (ACT Branch)","Y","Preference Count","662"
"ACT","102","Fraser","0","ABSENT","2","3","24147","LEIGH","Andrew Keith","ALP","Australian Labor Party (ACT Branch)","Y","Preference Percent","43.900"
"ACT","102","Fraser","0","ABSENT","2","3","24147","LEIGH","Andrew Keith","ALP","Australian Labor Party (ACT Branch)","Y","Transfer Count","15"
"ACT","102","Fraser","0","ABSENT","2","3","24147","LEIGH","Andrew Keith","ALP","Australian Labor Party (ACT Branch)","Y","Transfer Percent","31.910"
"ACT","102","Fraser","0","ABSENT","2","4","24246","ALCAZAR","Freddy Alejandro","PUP","Palmer United Party","N","Preference Count","55"
"ACT","102","Fraser","0","ABSENT","2","4","24246","ALCAZAR","Freddy Alejandro","PUP","Palmer United Party","N","Preference Percent","3.650"
"ACT","102","Fraser","0","ABSENT","2","4","24246","ALCAZAR","Freddy Alejandro","PUP","Palmer United Party","N","Transfer Count","5"
"ACT","102","Fraser","0","ABSENT","2","4","24246","ALCAZAR","Freddy Alejandro","PUP","Palmer United Party","N","Transfer Percent","10.640"
"ACT","102","Fraser","0","ABSENT","2","5","24251","ROSS","Jill Elizabeth","RUA","Rise Up Australia Party","N","Preference Count","0"
"ACT","102","Fraser","0","ABSENT","2","5","24251","ROSS","Jill Elizabeth","RUA","Rise Up Australia Party","N","Preference Percent","0.000"
"ACT","102","Fraser","0","ABSENT","2","5","24251","ROSS","Jill Elizabeth","RUA","Rise Up Australia Party","N","Transfer Count","0"
"ACT","102","Fraser","0","ABSENT","2","5","24251","ROSS","Jill Elizabeth","RUA","Rise Up Australia Party","N","Transfer Percent","0.000"
"ACT","102","Fraser","0","ABSENT","2","6","24135","HUGGINS","Sam Arthur","BTA","Bullet Train For Australia","N","Preference Count","87"
"ACT","102","Fraser","0","ABSENT","2","6","24135","HUGGINS","Sam Arthur","BTA","Bullet Train For Australia","N","Preference Percent","5.770"
"ACT","102","Fraser","0","ABSENT","2","6","24135","HUGGINS","Sam Arthur","BTA","Bullet Train For Australia","N","Transfer Count","4"
"ACT","102","Fraser","0","ABSENT","2","6","24135","HUGGINS","Sam Arthur","BTA","Bullet Train For Australia","N","Transfer Percent","8.510"
"ACT","102","Fraser","0","ABSENT","2","7","24890","VERWEY","Adam John","GRN","Australian Greens","N","Preference Count","248"
"ACT","102","Fraser","0","ABSENT","2","7","24890","VERWEY","Adam John","GRN","Australian Greens","N","Preference Percent","16.450"
"ACT","102","Fraser","0","ABSENT","2","7","24890","VERWEY","Adam John","GRN","Australian Greens","N","Transfer Count","2"
"ACT","102","Fraser","0","ABSENT","2","7","24890","VERWEY","Adam John","GRN","Australian Greens","N","Transfer Percent","4.260"
"ACT","102","Fraser","0","ABSENT","3","1","24908","CHURCHILL","Darren Mark","DEM","Australian Democrats","N","Preference Count","0"
"ACT","102","Fraser","0","ABSENT","3","1","24908","CHURCHILL","Darren Mark","DEM","Australian Democrats","N","Preference Percent","0.000"
"ACT","102","Fraser","0","ABSENT","3","1","24908","CHURCHILL","Darren Mark","DEM","Australian Democrats","N","Transfer Count","0"
"ACT","102","Fraser","0","ABSENT","3","1","24908","CHURCHILL","Darren Mark","DEM","Australian Democrats","N","Transfer Percent","0.000"
"ACT","102","Fraser","0","ABSENT","3","2","24865","LEE","Elizabeth Seul-Gi","LP","Liberal Party of Australia - ACT Division","N","Preference Count","475"
"ACT","102","Fraser","0","ABSENT","3","2","24865","LEE","Elizabeth Seul-Gi","LP","Liberal Party of Australia - ACT Division","N","Preference Percent","31.500"
"ACT","102","Fraser","0","ABSENT","3","2","24865","LEE","Elizabeth Seul-Gi","LP","Liberal Party of Australia - ACT Division","N","Transfer Count","19"
"ACT","102","Fraser","0","ABSENT","3","2","24865","LEE","Elizabeth Seul-Gi","LP","Liberal Party of Australia - ACT Division","N","Transfer Percent","34.550"
"ACT","102","Fraser","0","ABSENT","3","3","24147","LEIGH","Andrew Keith","ALP","Australian Labor Party (ACT Branch)","Y","Preference Count","677"
"ACT","102","Fraser","0","ABSENT","3","3","24147","LEIGH","Andrew Keith","ALP","Australian Labor Party (ACT Branch)","Y","Preference Percent","44.890"
"ACT","102","Fraser","0","ABSENT","3","3","24147","LEIGH","Andrew Keith","ALP","Australian Labor Party (ACT Branch)","Y","Transfer Count","15"
"ACT","102","Fraser","0","ABSENT","3","3","24147","LEIGH","Andrew Keith","ALP","Australian Labor Party (ACT Branch)","Y","Transfer Percent","27.270"
"ACT","102","Fraser","0","ABSENT","3","4","24246","ALCAZAR","Freddy Alejandro","PUP","Palmer United Party","N","Preference Count","0"
"ACT","102","Fraser","0","ABSENT","3","4","24246","ALCAZAR","Freddy Alejandro","PUP","Palmer United Party","N","Preference Percent","0.000"
"ACT","102","Fraser","0","ABSENT","3","4","24246","ALCAZAR","Freddy Alejandro","PUP","Palmer United Party","N","Transfer Count","-55"
"ACT","102","Fraser","0","ABSENT","3","4","24246","ALCAZAR","Freddy Alejandro","PUP","Palmer United Party","N","Transfer Percent","-100.000"
"ACT","102","Fraser","0","ABSENT","3","5","24251","ROSS","Jill Elizabeth","RUA","Rise Up Australia Party","N","Preference Count","0"
"ACT","102","Fraser","0","ABSENT","3","5","24251","ROSS","Jill Elizabeth","RUA","Rise Up Australia Party","N","Preference Percent","0.000"
"ACT","102","Fraser","0","ABSENT","3","5","24251","ROSS","Jill Elizabeth","RUA","Rise Up Australia Party","N","Transfer Count","0"
"ACT","102","Fraser","0","ABSENT","3","5","24251","ROSS","Jill Elizabeth","RUA","Rise Up Australia Party","N","Transfer Percent","0.000"
"ACT","102","Fraser","0","ABSENT","3","6","24135","HUGGINS","Sam Arthur","BTA","Bullet Train For Australia","N","Preference Count","99"
"ACT","102","Fraser","0","ABSENT","3","6","24135","HUGGINS","Sam Arthur","BTA","Bullet Train For Australia","N","Preference Percent","6.560"
"ACT","102","Fraser","0","ABSENT","3","6","24135","HUGGINS","Sam Arthur","BTA","Bullet Train For Australia","N","Transfer Count","12"
"ACT","102","Fraser","0","ABSENT","3","6","24135","HUGGINS","Sam Arthur","BTA","Bullet Train For Australia","N","Transfer Percent","21.820"
"ACT","102","Fraser","0","ABSENT","3","7","24890","VERWEY","Adam John","GRN","Australian Greens","N","Preference Count","257"
"ACT","102","Fraser","0","ABSENT","3","7","24890","VERWEY","Adam John","GRN","Australian Greens","N","Preference Percent","17.040"
"ACT","102","Fraser","0","ABSENT","3","7","24890","VERWEY","Adam John","GRN","Australian Greens","N","Transfer Count","9"
"ACT","102","Fraser","0","ABSENT","3","7","24890","VERWEY","Adam John","GRN","Australian Greens","N","Transfer Percent","16.360"
"ACT","102","Fraser","0","ABSENT","4","1","24908","CHURCHILL","Darren Mark","DEM","Australian Democrats","N","Preference Count","0"
"ACT","102","Fraser","0","ABSENT","4","1","24908","CHURCHILL","Darren Mark","DEM","Australian Democrats","N","Preference Percent","0.000"
"ACT","102","Fraser","0","ABSENT","4","1","24908","CHURCHILL","Darren Mark","DEM","Australian Democrats","N","Transfer Count","0"
"ACT","102","Fraser","0","ABSENT","4","1","24908","CHURCHILL","Darren Mark","DEM","Australian Democrats","N","Transfer Percent","0.000"
"ACT","102","Fraser","0","ABSENT","4","2","24865","LEE","Elizabeth Seul-Gi","LP","Liberal Party of Australia - ACT Division","N","Preference Count","503"
"ACT","102","Fraser","0","ABSENT","4","2","24865","LEE","Elizabeth Seul-Gi","LP","Liberal Party of Australia - ACT Division","N","Preference Percent","33.360"
"ACT","102","Fraser","0","ABSENT","4","2","24865","LEE","Elizabeth Seul-Gi","LP","Liberal Party of Australia - ACT Division","N","Transfer Count","28"
"ACT","102","Fraser","0","ABSENT","4","2","24865","LEE","Elizabeth Seul-Gi","LP","Liberal Party of Australia - ACT Division","N","Transfer Percent","28.280"
"ACT","102","Fraser","0","ABSENT","4","3","24147","LEIGH","Andrew Keith","ALP","Australian Labor Party (ACT Branch)","Y","Preference Count","710"
"ACT","102","Fraser","0","ABSENT","4","3","24147","LEIGH","Andrew Keith","ALP","Australian Labor Party (ACT Branch)","Y","Preference Percent","47.080"
"ACT","102","Fraser","0","ABSENT","4","3","24147","LEIGH","Andrew Keith","ALP","Australian Labor Party (ACT Branch)","Y","Transfer Count","33"
"ACT","102","Fraser","0","ABSENT","4","3","24147","LEIGH","Andrew Keith","ALP","Australian Labor Party (ACT Branch)","Y","Transfer Percent","33.330"
"ACT","102","Fraser","0","ABSENT","4","4","24246","ALCAZAR","Freddy Alejandro","PUP","Palmer United Party","N","Preference Count","0"
"ACT","102","Fraser","0","ABSENT","4","4","24246","ALCAZAR","Freddy Alejandro","PUP","Palmer United Party","N","Preference Percent","0.000"
"ACT","102","Fraser","0","ABSENT","4","4","24246","ALCAZAR","Freddy Alejandro","PUP","Palmer United Party","N","Transfer Count","0"
"ACT","102","Fraser","0","ABSENT","4","4","24246","ALCAZAR","Freddy Alejandro","PUP","Palmer United Party","N","Transfer Percent","0.000"
"ACT","102","Fraser","0","ABSENT","4","5","24251","ROSS","Jill Elizabeth","RUA","Rise Up Australia Party","N","Preference Count","0"
"ACT","102","Fraser","0","ABSENT","4","5","24251","ROSS","Jill Elizabeth","RUA","Rise Up Australia Party","N","Preference Percent","0.000"
"ACT","102","Fraser","0","ABSENT","4","5","24251","ROSS","Jill Elizabeth","RUA","Rise Up Australia Party","N","Transfer Count","0"
"ACT","102","Fraser","0","ABSENT","4","5","24251","ROSS","Jill Elizabeth","RUA","Rise Up Australia Party","N","Transfer Percent","0.000"
"ACT","102","Fraser","0","ABSENT","4","6","24135","HUGGINS","Sam Arthur","BTA","Bullet Train For Australia","N","Preference Count","0"
"ACT","102","Fraser","0","ABSENT","4","6","24135","HUGGINS","Sam Arthur","BTA","Bullet Train For Australia","N","Preference Percent","0.000"
"ACT","102","Fraser","0","ABSENT","4","6","24135","HUGGINS","Sam Arthur","BTA","Bullet Train For Australia","N","Transfer Count","-99"
"ACT","102","Fraser","0","ABSENT","4","6","24135","HUGGINS","Sam Arthur","BTA","Bullet Train For Australia","N","Transfer Percent","-100.000"
"ACT","102","Fraser","0","ABSENT","4","7","24890","VERWEY","Adam John","GRN","Australian Greens","N","Preference Count","295"
"ACT","102","Fraser","0","ABSENT","4","7","24890","VERWEY","Adam John","GRN","Australian Greens","N","Preference Percent","19.560"
"ACT","102","Fraser","0","ABSENT","4","7","24890","VERWEY","Adam John","GRN","Australian Greens","N","Transfer Count","38"
"ACT","102","Fraser","0","ABSENT","4","7","24890","VERWEY","Adam John","GRN","Australian Greens","N","Transfer Percent","38.380"
"ACT","102","Fraser","0","ABSENT","5","1","24908","CHURCHILL","Darren Mark","DEM","Australian Democrats","N","Preference Count","0"
"ACT","102","Fraser","0","ABSENT","5","1","24908","CHURCHILL","Darren Mark","DEM","Australian Democrats","N","Preference Percent","0.000"
"ACT","102","Fraser","0","ABSENT","5","1","24908","CHURCHILL","Darren Mark","DEM","Australian Democrats","N","Transfer Count","0"
"ACT","102","Fraser","0","ABSENT","5","1","24908","CHURCHILL","Darren Mark","DEM","Australian Democrats","N","Transfer Percent","0.000"
"ACT","102","Fraser","0","ABSENT","5","2","24865","LEE","Elizabeth Seul-Gi","LP","Liberal Party of Australia - ACT Division","N","Preference Count","554"
"ACT","102","Fraser","0","ABSENT","5","2","24865","LEE","Elizabeth Seul-Gi","LP","Liberal Party of Australia - ACT Division","N","Preference Percent","36.740"
"ACT","102","Fraser","0","ABSENT","5","2","24865","LEE","Elizabeth Seul-Gi","LP","Liberal Party of Australia - ACT Division","N","Transfer Count","51"
"ACT","102","Fraser","0","ABSENT","5","2","24865","LEE","Elizabeth Seul-Gi","LP","Liberal Party of Australia - ACT Division","N","Transfer Percent","17.290"
"ACT","102","Fraser","0","ABSENT","5","3","24147","LEIGH","Andrew Keith","ALP","Australian Labor Party (ACT Branch)","Y","Preference Count","954"
"ACT","102","Fraser","0","ABSENT","5","3","24147","LEIGH","Andrew Keith","ALP","Australian Labor Party (ACT Branch)","Y","Preference Percent","63.260"
"ACT","102","Fraser","0","ABSENT","5","3","24147","LEIGH","Andrew Keith","ALP","Australian Labor Party (ACT Branch)","Y","Transfer Count","244"
"ACT","102","Fraser","0","ABSENT","5","3","24147","LEIGH","Andrew Keith","ALP","Australian Labor Party (ACT Branch)","Y","Transfer Percent","82.710"
"ACT","102","Fraser","0","ABSENT","5","4","24246","ALCAZAR","Freddy Alejandro","PUP","Palmer United Party","N","Preference Count","0"
"ACT","102","Fraser","0","ABSENT","5","4","24246","ALCAZAR","Freddy Alejandro","PUP","Palmer United Party","N","Preference Percent","0.000"
"ACT","102","Fraser","0","ABSENT","5","4","24246","ALCAZAR","Freddy Alejandro","PUP","Palmer United Party","N","Transfer Count","0"
"ACT","102","Fraser","0","ABSENT","5","4","24246","ALCAZAR","Freddy Alejandro","PUP","Palmer United Party","N","Transfer Percent","0.000"
"ACT","102","Fraser","0","ABSENT","5","5","24251","ROSS","Jill Elizabeth","RUA","Rise Up Australia Party","N","Preference Count","0"
"ACT","102","Fraser","0","ABSENT","5","5","24251","ROSS","Jill Elizabeth","RUA","Rise Up Australia Party","N","Preference Percent","0.000"
"ACT","102","Fraser","0","ABSENT","5","5","24251","ROSS","Jill Elizabeth","RUA","Rise Up Australia Party","N","Transfer Count","0"
"ACT","102","Fraser","0","ABSENT","5","5","24251","ROSS","Jill Elizabeth","RUA","Rise Up Australia Party","N","Transfer Percent","0.000"
"ACT","102","Fraser","0","ABSENT","5","6","24135","HUGGINS","Sam Arthur","BTA","Bullet Train For Australia","N","Preference Count","0"
"ACT","102","Fraser","0","ABSENT","5","6","24135","HUGGINS","Sam Arthur","BTA","Bullet Train For Australia","N","Preference Percent","0.000"
"ACT","102","Fraser","0","ABSENT","5","6","24135","HUGGINS","Sam Arthur","BTA","Bullet Train For Australia","N","Transfer Count","0"
"ACT","102","Fraser","0","ABSENT","5","6","24135","HUGGINS","Sam Arthur","BTA","Bullet Train For Australia","N","Transfer Percent","0.000"
"ACT","102","Fraser","0","ABSENT","5","7","24890","VERWEY","Adam John","GRN","Australian Greens","N","Preference Count","0"
"ACT","102","Fraser","0","ABSENT","5","7","24890","VERWEY","Adam John","GRN","Australian Greens","N","Preference Percent","0.000"
"ACT","102","Fraser","0","ABSENT","5","7","24890","VERWEY","Adam John","GRN","Australian Greens","N","Transfer Count","-295"
"ACT","102","Fraser","0","ABSENT","5","7","24890","VERWEY","Adam John","GRN","Australian Greens","N","Transfer Percent","-100.000"
"ACT","102","Fraser","0","POSTAL","0","1","24908","CHURCHILL","Darren Mark","DEM","Australian Democrats","N","Preference Count","130"
"ACT","102","Fraser","0","POSTAL","0","1","24908","CHURCHILL","Darren Mark","DEM","Australian Democrats","N","Preference Percent","2.150"
