2013 Federal Election House of Representatives Two Candidate Preferred Flow of Preferences by Polling Place [17496 19/11/2013 10:14:27      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,FromCandidateId,FromCandidatePartyAb,FromCandidatePartyNm,FromCandidateSurname,FromCandidateGivenNm,FromCandidateBallotPosition,ToCandidateId,ToCandidatePartyAb,ToCandidatePartyNm,ToCandidateSurname,ToCandidateGivenNm,ToCandidateBallotPosition,TransferCount,TransferPercent
"NSW","117","Eden-Monaro","0","PRE_POLL","23171","SPP","Australian Stable Population Party","TYE","Martin","2","23189","LP","Liberal Party of Australia, NSW Division","HENDY","Peter","1","16","41.030"
"NSW","117","Eden-Monaro","0","PRE_POLL","24255","PUP","Palmer United Party","LYNCH","Dean","4","24547","ALP","Australian Labor Party (N.S.W. Branch)","KELLY","Mike","3","93","46.040"
"NSW","117","Eden-Monaro","0","PRE_POLL","24255","PUP","Palmer United Party","LYNCH","Dean","4","23189","LP","Liberal Party of Australia, NSW Division","HENDY","Peter","1","109","53.960"
"NSW","117","Eden-Monaro","0","PRE_POLL","23239","GRN","Australian Greens","MOORE","Catherine","5","23189","LP","Liberal Party of Australia, NSW Division","HENDY","Peter","1","61","12.150"
"NSW","117","Eden-Monaro","0","PRE_POLL","23239","GRN","Australian Greens","MOORE","Catherine","5","24547","ALP","Australian Labor Party (N.S.W. Branch)","KELLY","Mike","3","441","87.850"
"NSW","117","Eden-Monaro","0","PRE_POLL","23410","CEC","Citizens Electoral Council of Australia","GOUMAS","Costas","6","24547","ALP","Australian Labor Party (N.S.W. Branch)","KELLY","Mike","3","8","50.000"
"NSW","117","Eden-Monaro","0","PRE_POLL","23410","CEC","Citizens Electoral Council of Australia","GOUMAS","Costas","6","23189","LP","Liberal Party of Australia, NSW Division","HENDY","Peter","1","8","50.000"
"NSW","117","Eden-Monaro","0","PRE_POLL","24751","IND","Independent","THALER","Andrew","7","23189","LP","Liberal Party of Australia, NSW Division","HENDY","Peter","1","43","49.430"
"NSW","117","Eden-Monaro","0","PRE_POLL","24751","IND","Independent","THALER","Andrew","7","24547","ALP","Australian Labor Party (N.S.W. Branch)","KELLY","Mike","3","44","50.570"
"NSW","117","Eden-Monaro","0","PRE_POLL","24578","CDP","Christian Democratic Party (Fred Nile Group)","CATTON","Warren","8","24547","ALP","Australian Labor Party (N.S.W. Branch)","KELLY","Mike","3","19","42.220"
"NSW","117","Eden-Monaro","0","PRE_POLL","24578","CDP","Christian Democratic Party (Fred Nile Group)","CATTON","Warren","8","23189","LP","Liberal Party of Australia, NSW Division","HENDY","Peter","1","26","57.780"
"NSW","117","Eden-Monaro","0","PROVISIONAL","0","","","First Preferences","","0","24547","ALP","Australian Labor Party (N.S.W. Branch)","KELLY","Mike","3","75","53.570"
"NSW","117","Eden-Monaro","0","PROVISIONAL","0","","","First Preferences","","0","23189","LP","Liberal Party of Australia, NSW Division","HENDY","Peter","1","65","46.430"
"NSW","117","Eden-Monaro","0","PROVISIONAL","23171","SPP","Australian Stable Population Party","TYE","Martin","2","23189","LP","Liberal Party of Australia, NSW Division","HENDY","Peter","1","1","100.000"
"NSW","117","Eden-Monaro","0","PROVISIONAL","23171","SPP","Australian Stable Population Party","TYE","Martin","2","24547","ALP","Australian Labor Party (N.S.W. Branch)","KELLY","Mike","3","0","0.000"
"NSW","117","Eden-Monaro","0","PROVISIONAL","24255","PUP","Palmer United Party","LYNCH","Dean","4","24547","ALP","Australian Labor Party (N.S.W. Branch)","KELLY","Mike","3","3","50.000"
"NSW","117","Eden-Monaro","0","PROVISIONAL","24255","PUP","Palmer United Party","LYNCH","Dean","4","23189","LP","Liberal Party of Australia, NSW Division","HENDY","Peter","1","3","50.000"
"NSW","117","Eden-Monaro","0","PROVISIONAL","23239","GRN","Australian Greens","MOORE","Catherine","5","23189","LP","Liberal Party of Australia, NSW Division","HENDY","Peter","1","1","7.140"
"NSW","117","Eden-Monaro","0","PROVISIONAL","23239","GRN","Australian Greens","MOORE","Catherine","5","24547","ALP","Australian Labor Party (N.S.W. Branch)","KELLY","Mike","3","13","92.860"
"NSW","117","Eden-Monaro","0","PROVISIONAL","23410","CEC","Citizens Electoral Council of Australia","GOUMAS","Costas","6","24547","ALP","Australian Labor Party (N.S.W. Branch)","KELLY","Mike","3","0","0.000"
"NSW","117","Eden-Monaro","0","PROVISIONAL","23410","CEC","Citizens Electoral Council of Australia","GOUMAS","Costas","6","23189","LP","Liberal Party of Australia, NSW Division","HENDY","Peter","1","0","0.000"
"NSW","117","Eden-Monaro","0","PROVISIONAL","24751","IND","Independent","THALER","Andrew","7","23189","LP","Liberal Party of Australia, NSW Division","HENDY","Peter","1","3","75.000"
"NSW","117","Eden-Monaro","0","PROVISIONAL","24751","IND","Independent","THALER","Andrew","7","24547","ALP","Australian Labor Party (N.S.W. Branch)","KELLY","Mike","3","1","25.000"
"NSW","117","Eden-Monaro","0","PROVISIONAL","24578","CDP","Christian Democratic Party (Fred Nile Group)","CATTON","Warren","8","24547","ALP","Australian Labor Party (N.S.W. Branch)","KELLY","Mike","3","1","50.000"
"NSW","117","Eden-Monaro","0","PROVISIONAL","24578","CDP","Christian Democratic Party (Fred Nile Group)","CATTON","Warren","8","23189","LP","Liberal Party of Australia, NSW Division","HENDY","Peter","1","1","50.000"
"NSW","117","Eden-Monaro","666","Adaminaby","0","","","First Preferences","","0","24547","ALP","Australian Labor Party (N.S.W. Branch)","KELLY","Mike","3","49","26.060"
"NSW","117","Eden-Monaro","666","Adaminaby","0","","","First Preferences","","0","23189","LP","Liberal Party of Australia, NSW Division","HENDY","Peter","1","139","73.940"
"NSW","117","Eden-Monaro","666","Adaminaby","23171","SPP","Australian Stable Population Party","TYE","Martin","2","23189","LP","Liberal Party of Australia, NSW Division","HENDY","Peter","1","0","0.000"
"NSW","117","Eden-Monaro","666","Adaminaby","23171","SPP","Australian Stable Population Party","TYE","Martin","2","24547","ALP","Australian Labor Party (N.S.W. Branch)","KELLY","Mike","3","0","0.000"
"NSW","117","Eden-Monaro","666","Adaminaby","24255","PUP","Palmer United Party","LYNCH","Dean","4","23189","LP","Liberal Party of Australia, NSW Division","HENDY","Peter","1","19","59.380"
"NSW","117","Eden-Monaro","666","Adaminaby","24255","PUP","Palmer United Party","LYNCH","Dean","4","24547","ALP","Australian Labor Party (N.S.W. Branch)","KELLY","Mike","3","13","40.630"
"NSW","117","Eden-Monaro","666","Adaminaby","23239","GRN","Australian Greens","MOORE","Catherine","5","23189","LP","Liberal Party of Australia, NSW Division","HENDY","Peter","1","0","0.000"
"NSW","117","Eden-Monaro","666","Adaminaby","23239","GRN","Australian Greens","MOORE","Catherine","5","24547","ALP","Australian Labor Party (N.S.W. Branch)","KELLY","Mike","3","5","100.000"
"NSW","117","Eden-Monaro","666","Adaminaby","23410","CEC","Citizens Electoral Council of Australia","GOUMAS","Costas","6","24547","ALP","Australian Labor Party (N.S.W. Branch)","KELLY","Mike","3","0","0.000"
"NSW","117","Eden-Monaro","666","Adaminaby","23410","CEC","Citizens Electoral Council of Australia","GOUMAS","Costas","6","23189","LP","Liberal Party of Australia, NSW Division","HENDY","Peter","1","0","0.000"
