2013 Federal Election House of Representatives Distribution of Preferences By Polling Place [17496 19/11/2013 10:14:27      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,CountNum,BallotPosition,CandidateId,Surname,GivenNm,PartyAb,PartyNm,SittingMemberFl,CalculationType,CalculationValue
"NSW","117","Eden-Monaro","0","ABSENT","1","3","24547","KELLY","Michael Joseph","ALP","Australian Labor Party (N.S.W. Branch)","N","Preference Percent","37.670"
"NSW","117","Eden-Monaro","0","ABSENT","1","3","24547","KELLY","Michael Joseph","ALP","Australian Labor Party (N.S.W. Branch)","N","Transfer Count","1"
"NSW","117","Eden-Monaro","0","ABSENT","1","3","24547","KELLY","Michael Joseph","ALP","Australian Labor Party (N.S.W. Branch)","N","Transfer Percent","20.000"
"NSW","117","Eden-Monaro","0","ABSENT","1","4","24255","LYNCH","Dean Osbourne","PUP","Palmer United Party","N","Preference Count","106"
"NSW","117","Eden-Monaro","0","ABSENT","1","4","24255","LYNCH","Dean Osbourne","PUP","Palmer United Party","N","Preference Percent","5.920"
"NSW","117","Eden-Monaro","0","ABSENT","1","4","24255","LYNCH","Dean Osbourne","PUP","Palmer United Party","N","Transfer Count","2"
"NSW","117","Eden-Monaro","0","ABSENT","1","4","24255","LYNCH","Dean Osbourne","PUP","Palmer United Party","N","Transfer Percent","40.000"
"NSW","117","Eden-Monaro","0","ABSENT","1","5","23239","MOORE","Catherine Patricia","GRN","Australian Greens","N","Preference Count","213"
"NSW","117","Eden-Monaro","0","ABSENT","1","5","23239","MOORE","Catherine Patricia","GRN","Australian Greens","N","Preference Percent","11.890"
"NSW","117","Eden-Monaro","0","ABSENT","1","5","23239","MOORE","Catherine Patricia","GRN","Australian Greens","N","Transfer Count","1"
"NSW","117","Eden-Monaro","0","ABSENT","1","5","23239","MOORE","Catherine Patricia","GRN","Australian Greens","N","Transfer Percent","20.000"
"NSW","117","Eden-Monaro","0","ABSENT","1","6","23410","GOUMAS","Costas","CEC","Citizens Electoral Council of Australia","N","Preference Count","0"
"NSW","117","Eden-Monaro","0","ABSENT","1","6","23410","GOUMAS","Costas","CEC","Citizens Electoral Council of Australia","N","Preference Percent","0.000"
"NSW","117","Eden-Monaro","0","ABSENT","1","6","23410","GOUMAS","Costas","CEC","Citizens Electoral Council of Australia","N","Transfer Count","-5"
"NSW","117","Eden-Monaro","0","ABSENT","1","6","23410","GOUMAS","Costas","CEC","Citizens Electoral Council of Australia","N","Transfer Percent","-100.000"
"NSW","117","Eden-Monaro","0","ABSENT","1","7","24751","THALER","Andrew Evan","IND","Independent","N","Preference Count","34"
"NSW","117","Eden-Monaro","0","ABSENT","1","7","24751","THALER","Andrew Evan","IND","Independent","N","Preference Percent","1.900"
